[0801/153622.088:ERROR:media_internals.cc(112)] Cannot get RenderProcessHost
[0809/095743.331:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0809/095853.002:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0809/095858.031:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0809/095903.047:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0809/095908.068:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0809/095913.095:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0809/095918.110:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0809/095923.137:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0809/095928.159:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0809/095933.178:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0809/095938.198:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0809/095943.226:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
[0809/095948.248:WARNING:dns_config_service_win.cc(668)] Failed to read DnsConfig.
